Español,Quechua
Yo aprendo,Noqa yachakuu
Yo duermo,Noqa punuu
Yo escribo,Noqa qellqaa
Yo como,Noqa mikuu
Yo aprendo,Noqa yackakuni
Yo duermo,Noqa pununi
Yo escribo,Noqa qellqani
Yo como,Noqa mikuni
Este come bastante,Kayqa achkatam mikun
Ese come bastante,Chayqa achkatam mikun
Aquella come bastante,Taqay achkatam mikun
Estos comen bastante,Kaykunaqa achkatam mikuyan
Esos comen bastante,Chaykunaqa achkatam mikuyan
Aquellos comen bastante,Taqaykunaqa achkatam mikuyan
Mi casa es bonita,Noqapa wasiyqa sumaqmi
Tu casa es grande,Qampa wasiki hatunmi
Su casa de él es chica,Paypa wasinqa ichikllam
Nuestra casa es bonita,Noqanchikpa wasinsinchiqa sumaqmi
La casa de nosotros es mediana,Noqakunapa wasiykuna takshallam
La casa de ustedes es buena,Qamkunapa wasikikunaqa allim
La casa de ellos es grande,Paykunapa wasinkuna hatunmi
¿Qué quieres?,Imata munaki?
¿A quién buscas?,Pita ashinki?
¿A dónde vas?,Maypa aywanki?
¿Cuál de ellos eres?,Mayqantaq kanki?
¿Cuánto quieres?,Aykata munanki?
¿Todos están trabajando?,Llapanku aruykäyan?
¿Pocos nomás están trabajando?,Walkaqllaku aruykäyan?
¿Muchos están trabajando?,Achkaqku aruykäyan?
Español,Quechua
¡No seas ladrón!,Ama suwa kaychu!
¡No seas ocioso!,Ama qela kaychu!
¡No seas mentiroso!,Ama llulla kaychu!
Estés bien!,Sumaq kanki!
¡Trabajas bien!,Sumaq arukunki!
¡Trabajas bien!,Sumaq llankakunki!
¡No avices a nadie!,Ama willakunkichu!
Niño,Ollqu wamra
Niña,Warmi wamra
Perro,Orqu allqu
Perra,China allqu
Chancho,Orqu kuchi
Chancha,China kuchi
Burro,Orqu ashnu
Burra,China ashnu
Gato,Orqu mishi
Gata,China mishi
Cuy macho,Orqu haka
Cuy hembra,China haka
Res macho,Orqu wäka
Res hembra,China wäka
Ratón,Orqu ukush
Rata,China ukush
Cordero,Orqu üsha
Oveja,China üsha
Llama macho,Orqu llama
Llama hembra,China llama
Venado macho,Orqu luytsu
Venado hembra,China luytsu
Cóndor macho,Orqu kuntur
Cóndor hembra,China kuntur
Gallinazo macho,Orqu wiskur
Gallinazo hembra,China wiskur
Gavilán macho,Orqu anka
Gavilán hembra,China anka
Remedio,Janpi
Remedios,Janpikuna
Médico,Janpikoq
Médicos,Janpikoqkuna
Persona,Runa
 gentes,Runakuna
Niño ,Wamra
Niños ,Wamrakuna
Casa,Wasi
Casas,Wasikuna
Perro,Allqu
Perros,Allqukuna
Gallina,Wallpa
Gallinas,Wallpakuna
Gato,Mishi
Gatos,Mishikuna
Mujer,Warmi
Mujeres,Warmikuna
Pueblo,Marka
Pueblos,Markakuna
Pueblo,Llaqta
Pueblos,Llaqtakuna
Arbusto, Jacha
Arbustos, Jachakuna
Arbusto, Sacha
Arbustos, Sachakuna
Sí,Ari
No,Mana
Apesta,Asyaq
Aroma,Mushkoq
Muerto,Aya
Vivo,Kawsaq
No,Ama
Sí,Ari
Fuerte,Chachak
Suave,Yanqa
Echarse,Chachay
Pararse,Ichiy
Anciana,Chakwan
Bebé,Llullu
Poner,Churay
Sacar,Horquy
Adulto,Tsatsa
Niño-a,Wamra
Seco,Tsaki
Mojado,Oqu
Agarrar,Tsariy
Soltar,Kachay
Hierba,Hacha
Piedra,Rumi
Sentarse,Hamay
Pararse,Ichiy
¡No insultes!,Ama ashllikunkichu!
arriba,Hana
abajo,Ura
caminar,Hapay
parar,Ichiy
meter,Hatiy
sacar,Hipiy
abajo,Hawa
arriba,Hana
muchacha,Hipash
muchacho,Wayna
chico,Ichik
