spa,quz
"quizás le parezca que usted es solo una persona común y corriente, pero recuerde que jehová nunca olvidará su labor y el amor que demuestra por su santo nombre.","yaqapaschá niwaq, yanqa runallan kani nispa, ichaqa yuyariy, jehová diosqa manan hayk’aqpas qonqanqachu ruwasqaykita sutinrayku munakuyniykita rikuchisqaykitapas."
"el principio en el que se basan estas palabras es aplicable a toda aquella persona, casada o soltera, que “sigue mirando ” imágenes pornográficas.",chayqa kaqllataqmi qhelli ruwaykunata ‘ qhawaywan ’ casarasqaña otaq solteroña kanman chaypas.
"de modo que si queremos beneficiarnos del consejo de jesús, nos conviene analizar lo que dijo para ver cómo aplicarlo en nuestra vida.",jesuspa yachachisqanman hina kawsananchispaqqa allinta entiendenanchis yuyaychasqanta.
"en respuesta, jesús dio al hombre y a todos los que estaban escuchando una importante advertencia.",mañakusqanta kutichispan jesusqa chay runaman llapa uyariqkunamanwan allinta yuyaycharan.
"en cualquier caso, su petición dejaba entrever un problema de fondo: una grave falta de aprecio por las cuestiones espirituales.",imaynaña kaqtinpas chhayna mañakusqanpin rikuchiran espiritual kaqkunapi mana interesakusqanta.
"en las reuniones cristianas, por ejemplo, es fácil que nuestra mente divague o que nos pongamos a pensar en lo que haremos más tarde.",huñunakuypi kashaspa yaqapaschá imaymana ruwananchiskunapi yuyaykushanchis.
¿por qué no atendió jesús la petición del hombre?,¿imarayku jesús mana kasuranchu chay runaq mañakusqanta?
"sea cual fuere el motivo del hombre para hacer esa petición, jesús se negó a atenderla diciéndole: “hombre, ¿quién me nombró juez o repartidor sobre ustedes? ”.","chay runaq mañakusqan allinña mana allinña karan chaypas jesusqa manan kasuranchu, aswanmi kayta niran: “uyariy, runa, ¿pitaq qankuna ukhupi juezpaqpas rakiqpaqpas churawarqan? ” nispa."
"con estas palabras aludió a una conocida disposición de la ley mosaica, según la cual los jueces de las ciudades eran los encargados de decidir en esas cuestiones.","moisespa kamachikuy simiq nisqanman hinaqa juezkunan chay sasachaytaqa allichanan karan, chaytan jesusqa nisharan ."
"jesús tenía preocupaciones mucho más importantes, como dar testimonio acerca de la verdad del reino y enseñar a la gente la voluntad de dios.","jesusqa manan chaykunata ruwaqchu hamuran, aswanmi hamuran reinomanta cheqaqta yachachiq diospa munayninmantawan yachachinanpaq."
cuidado con la codicia,munapayaymanta cuidakusun
¿qué perspicaz comentario hizo jesús?,¿ima niranmi jesús munapayaymanta?
"como jesús era capaz de discernir las intenciones más profundas del corazón, sabía que algo más grave se ocultaba tras la solicitud de aquel hombre.","chay runaqa manan herencia rakipunallantachu munaran aswanmi sonqonpi mana allin kaqta munasharan, chaytan jesusqa yacharan."
"por eso, en vez de solo negarse a intervenir en una cuestión personal, jesús atacó la raíz del problema.","chaymi jesusqa mana kasuranchu chay runaq mañakusqanta, aswanmi sonqonpi kasqanta sut’incharan."
"“mantengan abiertos los ojos y guárdense de toda suerte de codicia dijo , porque hasta cuando uno tiene en abundancia, su vida no resulta de las cosas que posee. ”","paymi niran: ‘ qhawarikuychis, tukuy imaymana munapayaymanta cuidakuychis. runaq kawsayninqa manan askha kaqniyoq kaspallachu allin kanqa ’, nispa."
"¿qué es la codicia, y a qué puede llevar?","¿iman munapayay, imamanmi tanqawasunman?"
"la codicia es más que un simple deseo de poseer dinero u otras cosas, que podrían tener una utilidad y un propósito correctos.",munapayayqa manan necesitasqanchiskunata munayllachu.
"de acuerdo con varios diccionarios, se podría definir como un deseo distorsionado que se centra en bienes materiales o inmateriales, sea que pertenezcan a otra persona o no.","aswanmi munapayayqa qolqeta, qhapaq kayta, hukpa kaqnintapas sinchita munay, chaytan askha diccionariokuna nin."
"a veces se manifiesta en un apetito insaciable de conseguir cosas por el mero hecho de tenerlas, independientemente de si uno las necesita o de cómo repercutirá eso en los demás.",mayninqa manaña necesitankuchu chaypas kaqniyoq kani ninallankupaqmi imatapas rantinku otaq runakunaq qhawarinallanpaq.
la persona codiciosa permite que el objeto deseado acapare su mente y sus acciones hasta el grado de convertirse en su dios.,"munapayaq runaqa munasqallanpiñan yuyaykun chayman hinallañan imatapas ruwan, chaytaqmi diosninman tukupun."
"ahora bien, recordemos que el apóstol pablo equiparó la codicia a la idolatría y dijo que las personas dominadas por la avidez no heredarían el reino de dios.","apóstol pablopas ídolo yupaychaywanmi munapayayta tupachiran, nirantaq munapayaqkunaqa manan diospa reinonman haykunqakuchu nispa."
¿de qué formas puede manifestarse la codicia?,¿imakunatan munapayasunman?
dé ejemplos.,ejemplokunata willay.
es interesante destacar que jesús previno contra “toda suerte de codicia ”.,jesusqa anyaranñan “tukuy imaymana munapayaymanta ”.
"en efecto, la codicia puede adoptar diversas formas.","arí, imaymanatan munapayasunman."
"la biblia contiene numerosísimos ejemplos de personas que pecaron gravemente, empujadas por una forma u otra de codicia.","bibliaq willasqan hina, askha runakunan hatun huchaman urmaykuranku munapayaq kasqankumanta."
"satanás fue el primero en codiciar algo que pertenecía a otro: la gloria, honra y autoridad que solo jehová merece.","ñawpaqtaqa satanasmi jehová diospa hatunchayninta, yupaychayninta, atiynintawan munapayaran."
"eva codició el derecho a la autodeterminación; por ello, creyendo que podía ser independiente de dios, se dejó engañar y así encaminó a la humanidad hacia el pecado y la muerte.","evapas munayniyoq kayta munapayaspa saqrawan q’otuchikuran, chhaynapin huchata wañuytawan paqarichiran ."
"del mismo modo, los demonios fueron ángeles que, descontentos con “su posición original, abandonaron su propio y debido lugar de habitación ” para obtener algo que no les correspondía.",mana contentakuq supaykunapas paykunapaq mana kaqta munapayaspa ‘ hanaq pacha tiyanankuta saqepuranku ’.
"pensemos también en balaam, acán, guehazí y judas iscariote.","chhaynan kallarankutaq balaam, ahan, giezi, judas iscariotepas."
"como no estaban satisfechos con lo que tenían, dejaron que su insaciable deseo de bienes materiales los llevara a abusar de la confianza que se había depositado en ellos.","kaqninkunawan kusisqa kanankumantaqa qhapaq kaykunata munapayaspan imachus hunt’anankuta saqepuranku, chaytaqmi paykunata wañuyman aparan."
"¿con qué objetivo debemos ‘ mantener abiertos los ojos ’, como recomendó jesús?",¿imarayku jesuspa yuyaychasqan hina allinta ‘ qhawarikunanchis ’?
"desde luego, fue muy apropiado que jesús iniciara su advertencia contra la codicia diciendo: “mantengan abiertos los ojos ”.","munapayaymanta anyananpaqmi jesús khaynata qallariran: ‘ qhawarikuychis ’, nispa."
¿por qué?,¿imarayku chayta niran?
"porque a las personas les resulta muy fácil reconocer la codicia en los demás, pero raras veces la reconocen en sí mismas.","runakunaqa manan reparakunkuchu munapayaq kasqankuta, ichaqa usqhayllan hukkunapi reparanku munapayaq kasqankuta."
"el apóstol pablo indica, de todas formas, que “el amor al dinero es raíz de toda suerte de cosas perjudiciales ”.","apóstol pablo niran, “qolqe sonqo kaymi tukuy mana allinkunaq saphinqa ”, nispa."
"y el discípulo santiago señala que un deseo impropio, “cuando se ha hecho fecundo, da a luz el pecado ”.","santiagon nillantaq, mana allin kaqta munaymi “saphichakuspa huchata paqarichin ”, nispa."
"de ahí que, siguiendo la recomendación de jesús, debamos ‘ mantener abiertos los ojos ’.",chaymi jesuspa yuyaychasqanta kasukuspa allinta ‘ qhawarikunanchis ’.
"ahora bien, el objetivo no es descubrir si los demás encajan en la descripción del codicioso, sino hacernos un examen de conciencia a fin de averiguar cuáles son los verdaderos deseos de nuestro corazón.","manan hukkunatachu qhawana munapayaqchus icha manachus kasqankuta, aswanmi sapanka qhawarikunanchis imayna kasqanchista."
de esta forma nos ‘ guardaremos de toda suerte de codicia ’.,chhaynapin ‘ tukuy imaymana munapayaymanta cuidakusun ’.
vivir en la abundancia,askha kaqniyoq kaspa
", doce. ¿qué razón dio jesús para evitar la codicia?",", chunka iskayniyuq. ¿imaraykun jesús niran munapayaymanta cuidakuychis nispa?"
¿por qué debemos reflexionar en esa declaración?,¿imarayku yuyaymanananchis chay nisqanpi?
hay otra razón por la cual debemos evitar la codicia.,kallantaqmi huk razón munapayaymanta cuidakunanchispaq.
"fijémonos en lo que dijo jesús a continuación: “hasta cuando uno tiene en abundancia, su vida no resulta de las cosas que posee ”.",chaypaq qhawarisun jesuspa kay nisqanta: “runaq kawsayninqa manan askha kaqniyoq kaspallachu allin kanqa ”.
"debemos reflexionar en esa declaración, pues en esta era materialista la gente asocia la riqueza y la prosperidad con la felicidad y el éxito.","kay tiempopi runakunaqa qhapaq kayninpi maskhanku kusikuyta allin kawsaytapas, chaymi jesuspa chay nisqanpi allinta yuyaymanananchis."
"con estas palabras, jesús destacó que una vida verdaderamente feliz y con sentido no depende de los bienes materiales, por muy abundantes que sean.","chhayna nisqanpi jesús rikuchisharan, imayna qhapaqña runakuna kankuman chaypas manan cheqaq kusikuyta allin kawsaytapas tarinkumanchu."
"claro, es posible que algunos no compartan esta opinión.",wakin runakunan ichaqa mana chhaynatachu yuyaykunku.
"tal vez crean que los bienes materiales permiten disfrutar de una vida mucho más cómoda y agradable y, por tanto, hacen que valga la pena vivirla.","aswanmi ninku, qhapaq kaspa imaymanayoq kanchis chaykunawantaqmi aswan allinta kawsanchis, nispa."
"por eso, vuelcan sus esfuerzos en aquello que les permita adquirir todas las cosas que desean, pensando que de ese modo tendrán una vida mejor.",chhaynata yuyaykuspan imaymanata ruwanku tukuy munasqankuta tarinankupaq.
"sin embargo, quienes razonan así olvidan lo que dijo jesús.",chhaynata yuyaykuqkunaqa manan yuyarinkuchu jesuspa nisqanta.
¿cuál es el punto de vista equilibrado sobre la vida y las posesiones?,¿imaynatan qhawarina kawsayta imaymanayoq kaytapas?
jesús no se centró en si estaba bien o mal vivir en la abundancia.,jesusqa manan askha kaqniyoq kay allin otaq mana allin kasqanmantachu rimaran.
